UniprotID.TF	NCBI.GeneID.TF	Name.TF	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
Q8IPX7	319033	Rrp40	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q9VVR6	40035	Sgf11	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q94901	38811	lark	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
P10627	37655	twi	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q07DP5	31773	Trf2	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q05192	35398	Hr39	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q7KS72	42544	C15	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q9NJG9	48071	Su(z)12	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q9XTN4	31665	brk	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q0IGR3	31737	CG2120-RA	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q8IGP5	35445	Clamp	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
M9MS40	43856	nej	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q9VEP0	42057	Dmel\CG3995	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q9VAV6	43378	Dmel\CG1894	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
P83949	42034	Ubx	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q7JXA8	44879	rhi	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q9U1H0	53560	cic	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q9V3I5	39241	JIL-1	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
P92204	38982	Nelf-E	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
A0A0B4KHC8	42882	Spps	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q7PLI2	3355136	Nipped-B	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q9VAB8	43566	ZIPIC	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q9VS55	38817	CTCF	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
P35820	36431	Psc	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
P49028	37402	mago	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
P24785	35523	mle	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q95TJ9	43724	CycG	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
O62609	43725	Med	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q9VW15	40133	ash1	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
P09087	47763	Abd-B	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q9W1R4	37701	Ice1	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
P30052	32536	sd	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q9VC61	42930	REPTOR	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q9VQI9	33496	lilli	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q9VQ77	33388	11723	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q8IRW8	31149	trr	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
P23023	40940	dsx	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
P02836	36240	en	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q86BS3	40508	Chro	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q8SX40	42143	Dmel\CG17802	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q9NKV0	36750	Mlf	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
Q8I8V0	40966	Ada2b	chromatin immunoprecipitation assay	https://www.ncbi.nlm.nih.gov/pubmed/?term=27924024%5Buid%5D	Drosophila melanogaster	GTRD	No
