Homo sapiens;1363;20562;6872866;9006448;9020594
Mus musculus;744;27744;5488111;814898;836659
Rattus norvegicus;60;17859;116933;0;244
Danio rerio;20;24428;53081;0;0
Drosophila melanogaster;609;29585;792827;90873;91179
Caenorhabditis elegans;317;20222;447931;33449;33608
Saccharomyces cerevisiae;318;6549;232409;0;0
Total;3431;146949;14004158;9945668;9982284
