uniprotAC.tf,uniprotAC.target,otherAC.tf,otherAC.target,name.tf,name.target,detection.method,pubmedAC,organism,source.database
A5JNG8,A0A0R4IMS3,792333,192301,nanog,rpl24,chromatin immunoprecipitation assay,27924024,Danio rerio,GTRD
A5JNG8,A0A0R4IJA5,792333,-,nanog,tmem39a,chromatin immunoprecipitation assay,27924024,Danio rerio,GTRD
A5JNG8,A0A0R4IU30,792333,-,nanog,tmem39a,chromatin immunoprecipitation assay,27924024,Danio rerio,GTRD
A5JNG8,F1QZE4,792333,-,nanog,tmem39a,chromatin immunoprecipitation assay,27924024,Danio rerio,GTRD
A5JNG8,A0A0R4IZH5,792333,-,nanog,tmem39a,chromatin immunoprecipitation assay,27924024,Danio rerio,GTRD
A5JNG8,A0A0R4IMS5,792333,-,nanog,tmem39a,chromatin immunoprecipitation assay,27924024,Danio rerio,GTRD
A5JNG8,A0A0J9YJ27,792333,-,nanog,tmem39a,chromatin immunoprecipitation assay,27924024,Danio rerio,GTRD
A5JNG8,A0A0R4IP61,792333,-,nanog,gpa33a,chromatin immunoprecipitation assay,27924024,Danio rerio,GTRD
A5JNG8,A0A0R4IZS0,792333,-,nanog,gpa33a,chromatin immunoprecipitation assay,27924024,Danio rerio,GTRD
A5JNG8,A0A0J9YJG0,792333,-,nanog,gpa33a,chromatin immunoprecipitation assay,27924024,Danio rerio,GTRD
A5JNG8,A0A0R4IIH3,792333,407680,nanog,gpa33a,chromatin immunoprecipitation assay,27924024,Danio rerio,GTRD
A5JNG8,F1QZU6,792333,558106,nanog,prozb,chromatin immunoprecipitation assay,27924024,Danio rerio,GTRD
A5JNG8,A0A0G2LAZ5,792333,-,nanog,lamp1a,chromatin immunoprecipitation assay,27924024,Danio rerio,GTRD
A5JNG8,A0A0G2KUM5,792333,-,nanog,lamp1a,chromatin immunoprecipitation assay,27924024,Danio rerio,GTRD
A5JNG8,A8KBR5,792333,-,nanog,grtp1a,chromatin immunoprecipitation assay,27924024,Danio rerio,GTRD
A5JNG8,A0A0R4ICC5,792333,-,nanog,grtp1a,chromatin immunoprecipitation assay,27924024,Danio rerio,GTRD
A5JNG8,F1R4W4,792333,-,nanog,dcun1d2b,chromatin immunoprecipitation assay,27924024,Danio rerio,GTRD
A5JNG8,F1R508,792333,393749,nanog,tfdp1b,chromatin immunoprecipitation assay,27924024,Danio rerio,GTRD
A5JNG8,U3JAT0,792333,393749,nanog,tfdp1b,chromatin immunoprecipitation assay,27924024,Danio rerio,GTRD
A5JNG8,F1R7B6,792333,-,nanog,cenpe,chromatin immunoprecipitation assay,27924024,Danio rerio,GTRD
A5JNG8,F1RDY0,792333,-,nanog,cenpe,chromatin immunoprecipitation assay,27924024,Danio rerio,GTRD
A5JNG8,F1R0G3,792333,-,nanog,cenpe,chromatin immunoprecipitation assay,27924024,Danio rerio,GTRD
A5JNG8,E7F2U4,792333,767754,nanog,cenpe,chromatin immunoprecipitation assay,27924024,Danio rerio,GTRD
A5JNG8,F1QUW6,792333,-,nanog,cenpe,chromatin immunoprecipitation assay,27924024,Danio rerio,GTRD
