uniprotAC.tf,uniprotAC.target,otherAC.tf,otherAC.target,name.tf,name.target,detection.method,pubmedAC,organism,source.database
A0A023IRJ6,A0A023PZE2,-,,ALKCYP,YA047_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P39721,-,851248,ALKCYP,AIM2,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P13365,-,851191,ALKCYP,CLN3,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P06182,-,851192,ALKCYP,CYC3,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P00549,-,851193,ALKCYP,CDC19,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P39728,-,851194,ALKCYP,YAD7_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P39703,-,,ALKCYP,YAA4_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P39704,-,851226,ALKCYP,ERP2,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P39702,-,851261,ALKCYP,VPS8,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P32471,-,851260,ALKCYP,EFB1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P10591,-,851259,ALKCYP,SSA1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P0CX57,-,851269;856258,ALKCYP,TY1A-A,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q3E770,-,851229;852163;852630,ALKCYP,PAU9,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q3E756,-,852251,ALKCYP,YB029_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P18239,-,852250,ALKCYP,PET9,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P38201,-,852252,ALKCYP,YBC9_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P08431,-,852306,ALKCYP,GAL7,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P38217,-,852305,ALKCYP,KAP104,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P04385,-,852308,ALKCYP,GAL1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P04397,-,852307,ALKCYP,GAL10,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P38228,-,852332,ALKCYP,TCM62,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P11633,-,852386,ALKCYP,NHP6B,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P15873,-,852385,ALKCYP,POL30,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P24031,-,852389,ALKCYP,PHO3,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P38254,-,852391,ALKCYP,PBY1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P00635,-,852390,ALKCYP,PHO5,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P38274,-,852431,ALKCYP,HSL7,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P38111,-,852433,ALKCYP,MEC1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P20486,-,852432,ALKCYP,CKS1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P38137,-,852523,ALKCYP,PCS60,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P38321,-,852526,ALKCYP,YB75_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P38320,-,,ALKCYP,YB74_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
