UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
Q8WUZ0	9274	BCL7C	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q9H607	79629	OCEL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9UPQ7	23024	PDZRN3	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q8N7K0	163059	ZNF433	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
O75293	4616	GADD45B	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q1W6H9	642273	FAM110C	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
O43913	5001	ORC5	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9HCU9	25855	BRMS1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9BR77	84318	CCDC77	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q96A44	92369	SPSB4	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
O75069	9911	TMCC2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q16613	15	AANAT	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
O95990	11170	FAM107A	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
P20273	933	CD22	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9Y2H5	22874	PLEKHA6	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q9NTU4	25858	CATSPERZ	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q8N0V5	2651	GCNT2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9H4P4	10193	RNF41	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q13352	23421	ITGB3BP	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q96M96	121512	FGD4	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
O43711	30012	TLX3	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q8WUI4	51564	HDAC7	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q8WWX9	140606	SELENOM	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q8HWS3	222546	RFX6	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
P42766	11224	RPL35	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9NYV8	50840	TAS2R14	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q9Y4Z2	50674	NEUROG3	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q15047	9869	SETDB1	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q8N2H3	84795	PYROXD2	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q9P283	54437	SEMA5B	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
A0A2R8YDH7	NA	-	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q15785	10953	TOMM34	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q15170	9338	TCEAL1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
P60604	7327	UBE2G2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No
Q13765	4666	NACA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q8N9L1	84107	ZIC4	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q7Z7G8	157680	VPS13B	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
Q9BXJ7	81693	AMN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q5VST9	84033	OBSCN	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No
Q9BT88	23208	SYT11	chromatin immunoprecipitation assay	29126285,27924024	Homo sapiens	GTRD,ReMap	No
