UniprotID.Target	NCBI.GeneID.Target	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence
A9YH27	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
B9ZW35	36255	pyr	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9NDM2	140439	Tre1	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q6NNW7	NA	CG32306	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VHH1	41097	Dmel\CG8420	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7K3Q2	42257	dSLC5A1	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
C4IXZ2	NA	hbs-RB	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
E1JHC2	34237	CG18566	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
B7YZV4	34594	Pde1c	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q6WV19	33556	Pgant2	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q95078	32858	Cyp18a1	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
E1NZC1	NA	CG4004-RA	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q7YU51	NA	-	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q9VKQ0	34490	CG18499	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
D3DMM7	NA	nuf-RB	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
Q0E8S1	34237	Dmel\CG32982	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
D0IQG5	NA	CG32306-RD	chromatin immunoprecipitation assay	27924024	Drosophila melanogaster	GTRD	No
