ERG11,P10614,856398,target gene,Saccharomyces cerevisiae
YA075_YEAST,O42831,-,target gene,Saccharomyces cerevisiae
CBF1,P17106,853523.0,transcription factor,Saccharomyces cerevisiae
SLT2,Q00772,856425,target gene,Saccharomyces cerevisiae
MUD2,P36084,853788,target gene,Saccharomyces cerevisiae
GLK1,P17709,850317,target gene,Saccharomyces cerevisiae
YBT1,P32386,850678,target gene,Saccharomyces cerevisiae
AIM39,Q08223,854103,target gene,Saccharomyces cerevisiae
BDF2,Q07442,851488,target gene,Saccharomyces cerevisiae
RAD55,P38953,851648,target gene,Saccharomyces cerevisiae
MRPS17,Q03246,855226,target gene,Saccharomyces cerevisiae
GET1,P53192,852864,target gene,Saccharomyces cerevisiae
YJA7_YEAST,P47080,-,target gene,Saccharomyces cerevisiae
PUB1,P32588,855716,target gene,Saccharomyces cerevisiae
APT2,P36973,852051,target gene,Saccharomyces cerevisiae
VTH1,P40438,854634,target gene,Saccharomyces cerevisiae
RAD5,P32849,850719,target gene,Saccharomyces cerevisiae
RPL18B,P0CX50,854029;855415,target gene,Saccharomyces cerevisiae
YAN4_YEAST,P39563,851294,target gene,Saccharomyces cerevisiae
RTA1,P53047,853127,target gene,Saccharomyces cerevisiae
APS3,P47064,853429,target gene,Saccharomyces cerevisiae
YD149_YEAST,A0A023PXH9,-,target gene,Saccharomyces cerevisiae
RRP14,P36080,853780,target gene,Saccharomyces cerevisiae
YPR14_YEAST,Q6B0W2,-,target gene,Saccharomyces cerevisiae
PAU11,P0CE93,851229;852630,target gene,Saccharomyces cerevisiae
RSC8,P43609,850598,target gene,Saccharomyces cerevisiae
BCK2,P33306,856914,target gene,Saccharomyces cerevisiae
VPS21,P36017,854256,target gene,Saccharomyces cerevisiae
PCA1,P38360,852598,target gene,Saccharomyces cerevisiae
RGC1,Q06108,856231,target gene,Saccharomyces cerevisiae
YG36_YEAST,P53274,853027,target gene,Saccharomyces cerevisiae
SST2,P11972,851173,target gene,Saccharomyces cerevisiae
IME2,P32581,853338,target gene,Saccharomyces cerevisiae
LOA1,Q06508,856261,target gene,Saccharomyces cerevisiae
PMP3,P87284,851869,target gene,Saccharomyces cerevisiae
YD476_YEAST,Q03362,852087,target gene,Saccharomyces cerevisiae
RPL22A,P05749,850750,target gene,Saccharomyces cerevisiae
PRM4,Q12498,855947,target gene,Saccharomyces cerevisiae
SKI8,Q02793,852659,target gene,Saccharomyces cerevisiae
YO342_YEAST,Q12182,854520,target gene,Saccharomyces cerevisiae
MRPL36,P36531,852419,target gene,Saccharomyces cerevisiae
RPL31A,P0C2H8,851484,target gene,Saccharomyces cerevisiae
SCD5,P34758,854507,target gene,Saccharomyces cerevisiae
APM4,Q99186,854092,target gene,Saccharomyces cerevisiae
SYT1,Q06836,856210,target gene,Saccharomyces cerevisiae
IMD1,P39567,-,target gene,Saccharomyces cerevisiae
TAF12,Q03761,851723,target gene,Saccharomyces cerevisiae
PAM17,P36147,853939,target gene,Saccharomyces cerevisiae
CDC39,P25655,850455,target gene,Saccharomyces cerevisiae
LSM6,Q06406,851984,target gene,Saccharomyces cerevisiae
YBB2_YEAST,P38209,-,target gene,Saccharomyces cerevisiae
SLG1,P54867,854170,target gene,Saccharomyces cerevisiae
AGE1,Q04412,852136,target gene,Saccharomyces cerevisiae
YC204_YEAST,Q3E7Z8,1466398,target gene,Saccharomyces cerevisiae
SAM2,P19358,852113,target gene,Saccharomyces cerevisiae
YL031_YEAST,Q07978,850718,target gene,Saccharomyces cerevisiae
ADY3,Q07732,851359,target gene,Saccharomyces cerevisiae
ADE1,P27616,851272,target gene,Saccharomyces cerevisiae
RM34_YEAST,Q04598,851692,target gene,Saccharomyces cerevisiae
PST2,Q12335,851596,target gene,Saccharomyces cerevisiae
TIM13,P53299,853093,target gene,Saccharomyces cerevisiae
YO364_YEAST,Q08842,-,target gene,Saccharomyces cerevisiae
CUP2,P15315,852710.0,transcription factor,Saccharomyces cerevisiae
YM052_YEAST,Q6B0Y6,-,target gene,Saccharomyces cerevisiae
HEM14,P40012,856733,target gene,Saccharomyces cerevisiae
RPP2A,P05319,854118,target gene,Saccharomyces cerevisiae
YH022_YEAST,Q8TGT6,1466527,target gene,Saccharomyces cerevisiae
SEG2,P34250,853756,target gene,Saccharomyces cerevisiae
FMP27,Q06179,851175,target gene,Saccharomyces cerevisiae
YEY2_YEAST,P10356,856896,target gene,Saccharomyces cerevisiae
NNT1,Q05874,850991,target gene,Saccharomyces cerevisiae
CRN1,Q06440,851148,target gene,Saccharomyces cerevisiae
TYW3,P53177,852832,target gene,Saccharomyces cerevisiae
SEC2,P17065,855449,target gene,Saccharomyces cerevisiae
YB56A_YEAST,I2HB52,1466443,target gene,Saccharomyces cerevisiae
PEP4,P07267,855949,target gene,Saccharomyces cerevisiae
BSC4,P53841,855452,target gene,Saccharomyces cerevisiae
POM152,P39685,855159,target gene,Saccharomyces cerevisiae
DBP5,P20449,854211,target gene,Saccharomyces cerevisiae
YD391_YEAST,Q04170,852000,target gene,Saccharomyces cerevisiae
CCS1,P40202,855054,target gene,Saccharomyces cerevisiae
CTR2,P38865,856580,target gene,Saccharomyces cerevisiae
YGS6_YEAST,P46945,852699,target gene,Saccharomyces cerevisiae
DBP9,Q06218,850982,target gene,Saccharomyces cerevisiae
RPL6A,Q02326,854902,target gene,Saccharomyces cerevisiae
NTA1,P40354,853525,target gene,Saccharomyces cerevisiae
IXR1,P33417,853836.0,transcription factor,Saccharomyces cerevisiae
CYSKL_YEAST,P53206,852895,target gene,Saccharomyces cerevisiae
RPS7B,P48164,855628,target gene,Saccharomyces cerevisiae
YI102_YEAST,Q2V2P5,3799974,target gene,Saccharomyces cerevisiae
ARO10,Q06408,851987,target gene,Saccharomyces cerevisiae
MPD2,Q99316,854065,target gene,Saccharomyces cerevisiae
APS1,P35181,850868,target gene,Saccharomyces cerevisiae
RPN8,Q08723,854435,target gene,Saccharomyces cerevisiae
GIP3,Q03016,855967,target gene,Saccharomyces cerevisiae
CLB1,P24868,853002,target gene,Saccharomyces cerevisiae
YP108_YEAST,Q02872,855996,target gene,Saccharomyces cerevisiae
ASP1,P38986,851920,target gene,Saccharomyces cerevisiae
SPT6,P23615,853011,target gene,Saccharomyces cerevisiae
YCQ5_YEAST,P25616,850373,target gene,Saccharomyces cerevisiae
YM09_YEAST,Q03879,-,target gene,Saccharomyces cerevisiae
ALG1,P16661,852407,target gene,Saccharomyces cerevisiae
TIP20,P33891,852732,target gene,Saccharomyces cerevisiae
SER1,P33330,854356,target gene,Saccharomyces cerevisiae
GCV2,P49095,855227,target gene,Saccharomyces cerevisiae
YN227_YEAST,Q3E7Z0,1466509,target gene,Saccharomyces cerevisiae
YIM2,P28626,-,target gene,Saccharomyces cerevisiae
PIR3,Q03180,853693,target gene,Saccharomyces cerevisiae
YHI0_YEAST,P38708,856413,target gene,Saccharomyces cerevisiae
GIC1,P38785,856458,target gene,Saccharomyces cerevisiae
PPH22,P23595,851339,target gene,Saccharomyces cerevisiae
URA10,P30402,855313,target gene,Saccharomyces cerevisiae
YL342_YEAST,Q3E810,1466421,target gene,Saccharomyces cerevisiae
TFC8,Q12308,856100,target gene,Saccharomyces cerevisiae
YD340_YEAST,Q05503,-,target gene,Saccharomyces cerevisiae
YM306_YEAST,A0A023PXI0,-,target gene,Saccharomyces cerevisiae
YO062_YEAST,P36025,854228,target gene,Saccharomyces cerevisiae
MIG3,P39943,856750.0,transcription factor,Saccharomyces cerevisiae
BUD3,P25558,850345,target gene,Saccharomyces cerevisiae
RSM26,P47141,853565,target gene,Saccharomyces cerevisiae
ATG3,P40344,855741,target gene,Saccharomyces cerevisiae
SKT5,P34226,852218,target gene,Saccharomyces cerevisiae
POP8,P38208,852263,target gene,Saccharomyces cerevisiae
GIP1,P38229,852334,target gene,Saccharomyces cerevisiae
FAU1,P40099,856932,target gene,Saccharomyces cerevisiae
YFG7_YEAST,P43537,850477,target gene,Saccharomyces cerevisiae
FLC2,P39719,851246,target gene,Saccharomyces cerevisiae
HAP1,P0CE41,850958.0,transcription factor,Saccharomyces cerevisiae
CDC13,P32797,851306,target gene,Saccharomyces cerevisiae
TMA108,P40462,854669,target gene,Saccharomyces cerevisiae
BUD19,O94143,-,target gene,Saccharomyces cerevisiae
GAS4,Q08271,853988,target gene,Saccharomyces cerevisiae
SAP190,P36123,853899,target gene,Saccharomyces cerevisiae
ARV1,Q06541,850943,target gene,Saccharomyces cerevisiae
YF013_YEAST,Q03187,-,target gene,Saccharomyces cerevisiae
IKI3,Q06706,851100,target gene,Saccharomyces cerevisiae
PCH2,P38126,852484,target gene,Saccharomyces cerevisiae
MDN1,Q12019,850796,target gene,Saccharomyces cerevisiae
YL179_YEAST,Q06252,850876,target gene,Saccharomyces cerevisiae
GAR1,P28007,856489,target gene,Saccharomyces cerevisiae
UBP8,P50102,855263,target gene,Saccharomyces cerevisiae
YKD3A_YEAST,Q86ZR7,853833,target gene,Saccharomyces cerevisiae
MAL11,P53048,853207,target gene,Saccharomyces cerevisiae
HUL4,P40985,853494,target gene,Saccharomyces cerevisiae
GIC2,Q06648,851904,target gene,Saccharomyces cerevisiae
SEC28,P40509,854734,target gene,Saccharomyces cerevisiae
ORC4,P54791,856291,target gene,Saccharomyces cerevisiae
HXT9,P40885,853236,target gene,Saccharomyces cerevisiae
BNR1,P40450,854647,target gene,Saccharomyces cerevisiae
TSR1,Q07381,851499,target gene,Saccharomyces cerevisiae
YKH1_YEAST,P36086,853792,target gene,Saccharomyces cerevisiae
ESBP6,P53918,855598,target gene,Saccharomyces cerevisiae
MET28,P40573,854834.0,transcription factor,Saccharomyces cerevisiae
TDH3,P00359,853106,target gene,Saccharomyces cerevisiae
PYK2,P52489,854529,target gene,Saccharomyces cerevisiae
ERJ5,P43613,850602,target gene,Saccharomyces cerevisiae
TGL4,P36165,853964,target gene,Saccharomyces cerevisiae
OST4,Q99380,851366,target gene,Saccharomyces cerevisiae
PAN2,P53010,852786,target gene,Saccharomyces cerevisiae
SRO7,Q12038,856144,target gene,Saccharomyces cerevisiae
ERG8,P24521,855260,target gene,Saccharomyces cerevisiae
EIF2A_YEAST,P53235,852945,target gene,Saccharomyces cerevisiae
TSA1,P34760,854980,target gene,Saccharomyces cerevisiae
ATP12,P22135,853259,target gene,Saccharomyces cerevisiae
