Protein name	Uniprot ID	NCBI Gene ID	Function
Tp53inp2	Q8CFU8	68728	target gene
Cdh23	Q99PF4	22295	target gene
Zmynd15	Q8C0R7	574428	target gene
Slc22a12	A0A0R4J1I9	20521	target gene
Gp6	P0C191	243816	target gene
Tent5a	A0A087WS27	212943	target gene
Arhgap39	H3BKC8	-	target gene
Atxn2l	Q7TQH0	233871	target gene
Srsf11	D3Z4B0	-	target gene
Dspp	P97399	-	target gene
Irgm1	Q60766	15944	target gene
Mdga1	E9Q6S8	-	target gene
Sp6	Q9ESX2	83395	target gene
Med23	Q80YQ2	70208	transcription factor
Nr1h5	A0A0G2JEJ9	381463	target gene
Pnp	Q543K9	18950	target gene
Eef1d	A0A0R4J1E2	66656	target gene
Phf21a	E0CZ79	-	target gene
Spag6	Q9JLI7	50525	target gene
Vmn2r121	D3YWX8	-	target gene
Sh3rf2	Q8BZT2	269016	target gene
Gdf10	P97737	14560	target gene
Myrf	Q3UR85	225908	target gene
Scarb2	O35114	12492	target gene
6430550D23Rik	A3KGJ9	-	target gene
Sema3f	O88632	20350	target gene
Tradd	Q3U0V2	71609	target gene
Elp2	Q91WG4	58523	transcription factor and target gene
Fbrsl1	E9PUB6	381668	target gene
Slc5a1	Q8C3K6	20537	target gene
Olfr735	Q7TRM4	257909	target gene
Mpped1	Q91ZG2	223726	target gene
Wscd2	D4PHA7	320916	target gene
Zfp979	A2A799	112422	target gene
Aurka	P97477	20878	target gene
Olfr768	Q8VGC4	258863	target gene
Eif3j2	Q66JS6	100042807	target gene
Evi5l	H3BJX1	213027	target gene
Neurod4	O09105	11923	target gene
Skint10	A7TZG1	230613	target gene
Oc90	Q9Z0L3	18256	target gene
Thsd1	A0A1B0GT60	56229	target gene
Pcdhgc4	A0A0A6YVS5	-	target gene
Gm13023	A6PWA5	194227	target gene
Taf4	E9QAP7	228980	target gene
Lynx1	P0DP60	23936	target gene
Rc3h1	Q4VGL6	381305	target gene
Vmn2r95	L7N274	-	target gene
2410002F23Rik	D3Z276	-	target gene
