Protein name	Uniprot ID	NCBI Gene ID	Function
galK	P0A6T3	945358	target gene
pdxA	P19624	944919	target gene
cusB	P77239	945189	target gene
sodA	P00448	948403	target gene
fumA	P0AC33	946826	target gene
puuD	P76038	945882	target gene
sdhD	P0AC44	945322	target gene
metN	P30750	944896	target gene
trpB	P0A879	945768	target gene
ychH	P0AB49	945762	target gene
nrdD	P28903	948755	target gene
hycF	P16432	947048	target gene
pyrD	P0A7E1	945556	target gene
malX	P19642	946009	target gene
yhjA	P37197	948038	target gene
treR	P36673	948760	transcription factor and target gene
ompT	P09169	945185	target gene
fixA	P60566	947316	target gene
napG	P0AAL3	945544	target gene
marB	P31121	946184	target gene
moaC	P0A738	945397	target gene
mgtL	E2JKY7	9797237	target gene
astE	P76215	946256	target gene
entA	P15047	945284	target gene
phnC	P16677	948623	target gene
tdcF	P0AGL2	947624	target gene
mukF	P60293	945548	target gene
pnuC	P0AFK2	945350	target gene
exbD	P0ABV2	946345	target gene
gspI	P45760	947833	target gene
nrdF	P37146	947149	target gene
mazE	P0AE72	947245	transcription factor and target gene
zur	P0AC51	948552	transcription factor
hslJ	P52644	946525	target gene
yeiL	P0A9E9	946670	transcription factor and target gene
pnp	P05055	947672	target gene
uxaA	P42604	947603	target gene
cspI	P0A986	946099	target gene
rsmH	P60390	944806	target gene
ptsI	P08839	946879	target gene
cra	P0ACP1	944804	transcription factor and target gene
dgcN	P46139	947091	target gene
araD	P08203	945294	target gene
aroH	P00887	946229	target gene
gutQ	P17115	947587	target gene
phnF	P16684	948617	target gene
cpdB	P08331	948729	target gene
livG	P0A9S7	947967	target gene
rplV	P61175	29456686,947813	target gene
hyaB	P0ACD8	945580	target gene
yhiM	P37630	947997	target gene
pqiB	P43671	945653	target gene
mdtA	P76397	946604	target gene
nagC	P0AF20	945285	transcription factor and target gene
sbmC	P33012	946546	target gene
recA	P0A7G6	947170	target gene
artI	P30859	948988	target gene
zinT	P76344	946480	target gene
nrdR	P0A8D0	947437	transcription factor
sgbE	P37680	948099	target gene
ygbA	P25728	947187	target gene
hypF	P30131	944963	target gene
lamB	P02943	948548	target gene
acnB	P36683	944864	target gene
intQ	P76168	-	target gene
cysB	P0A9F3	945771	transcription factor and target gene
azuC	C1P605	7751642	target gene
