Fgf21,Q9JJN1,56636,target gene,Mus musculus
Tcf12,Q61286,21406,transcription factor,Mus musculus
Cd86,P42082,12524,target gene,Mus musculus
Slc27a1,Q60714,26457,target gene,Mus musculus
Ncoa3,A2A468,17979,target gene,Mus musculus
Bbc3,Q99ML1,170770,target gene,Mus musculus
Lmo7,B7ZN52,-,transcription factor,Mus musculus
Crp,P14847,12944,target gene,Mus musculus
Dmrt1,Q9QZ59,50796,transcription factor,Mus musculus
Hdac4,Q6NZM9,208727,transcription factor,Mus musculus
Mt3,P28184,17751,target gene,Mus musculus
Col5a3,Q920S4,-,target gene,Mus musculus
Nlrp1a,Q2LKU9,195046,target gene,Mus musculus
Scn8a,Q9WTU3,20273,target gene,Mus musculus
Abcb1b,P06795,18669,target gene,Mus musculus
Zbtb16,Q3UQ17,235320,transcription factor,Mus musculus
Icam1,P13597,15894,target gene,Mus musculus
Prdm5,Q9CXE0,70779,transcription factor,Mus musculus
Kcnc1,P15388,16502,target gene,Mus musculus
Sox2,P48432,20674,transcription factor,Mus musculus
Olfr151,Q60893,406176,target gene,Mus musculus
Znf488,Q5HZG9,382867,transcription factor,Mus musculus
Plagl1,Q3UQR2,-,target gene,Mus musculus
Ube2k,P61087,53323,transcription factor,Mus musculus
Slc1a3,P56564,20512,target gene,Mus musculus
E2f2,P56931,242705,transcription factor,Mus musculus
Opn1sw,P51491,12057,target gene,Mus musculus
Lpin1,Q91ZP3,14245,target gene,Mus musculus
Rag1,P15919,19373,target gene,Mus musculus
Tdo2,P48776,56720,target gene,Mus musculus
Dhh,Q61488,13363,target gene,Mus musculus
Tns1,Q8C6V6,21961,target gene,Mus musculus
Pthlh,P22858,-,transcription factor,Mus musculus
Mcm7,Q61881,17220,target gene,Mus musculus
Cbx6,Q9DBY5,494448,transcription factor,Mus musculus
Atp2a3,Q64518,53313,target gene,Mus musculus
Dhrs4,Q99LB2,28200,target gene,Mus musculus
Slc5a1,Q8C3K6,20537,target gene,Mus musculus
-,G3UY15,-,target gene,Mus musculus
Csn3,P06796,12994,target gene,Mus musculus
E4f1,Q8CCE9,13560,transcription factor,Mus musculus
Gapdh,P16858,100042025;14433,target gene,Mus musculus
Slc10a2,P70172,20494,target gene,Mus musculus
Hrk,P62816,12123,target gene,Mus musculus
Jun,P05627,16476,transcription factor,Mus musculus
Flt1,P35969,14254,target gene,Mus musculus
Tgfb1i1,Q62219,21804,transcription factor,Mus musculus
Ehmt1,Q5DW34,77683,transcription factor,Mus musculus
Chd8,Q09XV5,67772,transcription factor,Mus musculus
Pip,P02816,18716,target gene,Mus musculus
Itgb3,O54890,16416,target gene,Mus musculus
Gabre,A2AMW3,14404,target gene,Mus musculus
Jdp2,P97875,81703,transcription factor,Mus musculus
Bmp6,P20722,12161,transcription factor,Mus musculus
Proc,P33587,19123,target gene,Mus musculus
Gal,P47212,14419,target gene,Mus musculus
Nostrin,Q6WKZ7,329416,target gene,Mus musculus
Itga7,G3X9Q1,16404,target gene,Mus musculus
Plag1,Q9QYE0,56711,transcription factor,Mus musculus
Id3,P41133,15903,transcription factor,Mus musculus
Mzf1,A1L358,109889,transcription factor,Mus musculus
Cfb,B8JJM6,14962,target gene,Mus musculus
Grik2,P39087,14806,target gene,Mus musculus
Lmo2,P25801,16909,transcription factor,Mus musculus
Cd82,P40237,12521,target gene,Mus musculus
Ldha,P06151,16828,target gene,Mus musculus
Alox5,P48999,11689,target gene,Mus musculus
Hmga2,P52927,15364,transcription factor,Mus musculus
Rarres2,Q9DD06,71660,target gene,Mus musculus
Ccna2,P51943,12428,target gene,Mus musculus
Thbs1,Q80YQ1,21825,target gene,Mus musculus
Smarca5,Q91ZW3,93762,transcription factor,Mus musculus
Cyp2a5,Q91X75,13087,target gene,Mus musculus
Meis2,P97367,17536,transcription factor,Mus musculus
Upf3b,Q3ULL6,68134,target gene,Mus musculus
Col4a2,P08122,12827,target gene,Mus musculus
Nppa,P05125,230899,target gene,Mus musculus
Bmp2,P21274,12156,target gene,Mus musculus
Satb2,Q8VI24,212712,transcription factor,Mus musculus
Elk1,P41969,13712,transcription factor,Mus musculus
Il7,P10168,16196,target gene,Mus musculus
G6pd2,P97324,14380,target gene,Mus musculus
Cyp2a5,P20852,-,target gene,Mus musculus
Ikbkb,O88351,16150,transcription factor,Mus musculus
Clock,O08785,12753,transcription factor,Mus musculus
En1,P09065,13798,transcription factor,Mus musculus
Shox2,P70390,20429,transcription factor,Mus musculus
Atp2a2,O55143,11938,target gene,Mus musculus
Kcnip2,Q9JJ69,80906,target gene,Mus musculus
Ltc4s,Q60860,17001,target gene,Mus musculus
Adamts1,P97857,11504,target gene,Mus musculus
Areg,P31955,11839,target gene,Mus musculus
Rtl1,Q7M732,353326,target gene,Mus musculus
Jazf1,Q80ZQ5,231986,transcription factor,Mus musculus
Vax2,Q9WTP9,24113,transcription factor,Mus musculus
Pfkp,Q9WUA3,56421,target gene,Mus musculus
Plaat5,Q9CPX5,66727,target gene,Mus musculus
Gsc2,P56916,-,target gene,Mus musculus
Rnd3,P61588,74194,target gene,Mus musculus
Klf11,Q8K1S5,194655,transcription factor,Mus musculus
Cd38,P56528,12494,target gene,Mus musculus
Tollip,Q9QZ06,54473,target gene,Mus musculus
Ptpn1,P35821,19246,target gene,Mus musculus
Igh,Q3KQK2,-,target gene,Mus musculus
Lep,P41160,16846,target gene,Mus musculus
Slc9a2,Q9WUJ4,-,target gene,Mus musculus
Atf2,P16951,11909,transcription factor,Mus musculus
Tcirg1,D6RFN1,-,target gene,Mus musculus
Gtf2a2,Q80ZM7,235459,transcription factor,Mus musculus
Dll1,Q61483,13388,target gene,Mus musculus
Fosl2,P47930,14284,transcription factor,Mus musculus
Nras,Q4FJP3,18176,target gene,Mus musculus
Crebbp,A0A0U1RQB6,12914,target gene,Mus musculus
Fzd2,Q9JIP6,57265,target gene,Mus musculus
Actc1,P68033,11464,target gene,Mus musculus
Creb3,Q61817,-,transcription factor,Mus musculus
Ncoa4,Q3UJ26,-,transcription factor,Mus musculus
Odc1,P00860,18263,target gene,Mus musculus
Ins2,P01326,16334,target gene,Mus musculus
Mia,Q61865,12587,target gene,Mus musculus
Psat1,Q99K85,107272,target gene,Mus musculus
Tnfrsf25,Q99MM1,-,target gene,Mus musculus
Ifngr1,P15261,15979,target gene,Mus musculus
Map3k8,Q07174,26410,target gene,Mus musculus
Sult1e1,P49891,-,target gene,Mus musculus
Mmp15,O54732,17388,target gene,Mus musculus
Jchain,P01592,16069,target gene,Mus musculus
Tns1,Q8C323,-,target gene,Mus musculus
Crygd,P04342,12967,target gene,Mus musculus
Ncl,P09405,17975,target gene,Mus musculus
Vmn1r229,Q8R2A9,171224,target gene,Mus musculus
Retsat,Q64FW2,67442,target gene,Mus musculus
Eef1b,O70251,55949,target gene,Mus musculus
Mzf1,Q6P9Q8,-,transcription factor,Mus musculus
Ecm1,Q61508,13601,target gene,Mus musculus
Zeb2,Q9R0G7,24136,transcription factor,Mus musculus
Hspa1b,P17879,15511,target gene,Mus musculus
Tk1,P04184,21877,target gene,Mus musculus
Trh,Q62361,22044,target gene,Mus musculus
Hes2,O54792,15206,target gene,Mus musculus
Pdcd4,Q61823,18569,target gene,Mus musculus
Rgr,Q9Z2B3,57811,target gene,Mus musculus
H2-Aa,P04227,-,target gene,Mus musculus
H2-Aa,P14436,-,target gene,Mus musculus
Igh,Q6LEL3,-,target gene,Mus musculus
Adgrb1,Q3UHD1,107831,target gene,Mus musculus
Foxq1,O70220,15220,transcription factor,Mus musculus
Csnk2a2,O54833,13000,target gene,Mus musculus
Fhl2,O70433,14200,transcription factor,Mus musculus
Arid3a,Q62431,13496,transcription factor,Mus musculus
Kif21b,Q9QXL1,16565,target gene,Mus musculus
Edem1,Q925U4,192193,target gene,Mus musculus
Il3,P01586,16187,target gene,Mus musculus
Trpm1,Q2TV84,17364,target gene,Mus musculus
Mast1,Q9R1L5,56527,target gene,Mus musculus
Hoxb6,P09023,15414,target gene,Mus musculus
Tcirg1,Q91W06,-,target gene,Mus musculus
Tcl1a,P56280,21432,target gene,Mus musculus
Itgb6,Q9Z0T9,16420,target gene,Mus musculus
Sfrp4,Q9Z1N6,20379,target gene,Mus musculus
Zbtb2,Q69ZI2,381990,transcription factor,Mus musculus
Fam89b,Q9QUI1,17826,target gene,Mus musculus
Sqstm1,Q64337,18412,target gene,Mus musculus
Tie1,Q06806,21846,target gene,Mus musculus
Pmp2,P24526,18857,target gene,Mus musculus
Tph2,Q8CGV2,216343,target gene,Mus musculus
Olig2,Q9EQW6,50913,transcription factor,Mus musculus
Mrc1,Q61830,17533,target gene,Mus musculus
Crisp3,Q03402,11572,target gene,Mus musculus
Ncoa5,Q91W39,228869,transcription factor,Mus musculus
C4b,P01029,12268,target gene,Mus musculus
Atf6,F6VAN0,226641,transcription factor,Mus musculus
Slc2a1,P17809,20525,target gene,Mus musculus
Cd80,Q00609,12519,target gene,Mus musculus
Bcl2a1d,O55179,12047,target gene,Mus musculus
Abcg2,Q7TMS5,26357,target gene,Mus musculus
Adam8,Q05910,11501,target gene,Mus musculus
Dbh,Q64237,13166,target gene,Mus musculus
Irak2,Q8CFA1,108960,target gene,Mus musculus
Bcat1,P24288,12035,target gene,Mus musculus
Fgf20,Q9ESL9,80857,target gene,Mus musculus
Trem1,Q9JKE2,58217,target gene,Mus musculus
Mafg,O54790,17134,transcription factor,Mus musculus
Srd5a2,Q99N99,94224,target gene,Mus musculus
Rrm2,P11157,20135,target gene,Mus musculus
Grm2,Q14BI2,108068,target gene,Mus musculus
Dntt,P09838,21673,target gene,Mus musculus
Spink1,P09036,20730,target gene,Mus musculus
Aifm2,Q8BUE4,71361,target gene,Mus musculus
Klf1,P46099,-,transcription factor,Mus musculus
Igh,Q566J7,-,target gene,Mus musculus
Ramp2,Q9WUP0,54409,target gene,Mus musculus
Arl6ip5,Q8R5J9,65106,transcription factor,Mus musculus
Acss1,Q99NB1,68738,target gene,Mus musculus
Sfpq,Q8VIJ6,71514,transcription factor,Mus musculus
H2-Aa,P14437,-,target gene,Mus musculus
Pcsk2,P21661,18549,target gene,Mus musculus
