COX14,P39103,854910,target gene
PHO11,P35842,851299,target gene
YP276_YEAST,P0CF36,-,target gene
PPH3,P32345,851647,target gene
CWC25,P53854,855476,target gene
STH1,P32597,854680,target gene
YM013_YEAST,P0C5Q2,-,target gene
GPN2,Q08726,854436,target gene
GRC3,Q07845,850624,target gene
TY2A-LR1,P0C2J4,851127,target gene
TSA2,Q04120,852064,target gene
GCD2,P12754,852974,target gene
YM8C_YEAST,P38430,855304,target gene
MET6,P05694,856825,target gene
HSP78,P33416,851845,target gene
GYP7,P48365,851364,target gene
RPL10,P41805,850764,target gene
ARE1,P25628,850415,target gene
YO282_YEAST,Q08741,-,target gene
MTC5,Q03897,851706,target gene
NAM8,Q00539,856486,target gene
SRB2,P34162,856437,target gene
ASF1,P32447,853327,target gene
ADO1,P47143,853569,target gene
PAT1,P25644,850440,target gene
KNH1,P50112,851511,target gene
MHR1,Q06630,851890,target gene
MAD3,P47074,853439,target gene
GPA2,P10823,856741,target gene
TFB1,P32776,851906,target gene
GTR1,Q00582,854918,target gene
CHC1,P22137,852666,target gene
YP038_YEAST,Q3E7B4,1466521,target gene
YJT3_YEAST,P39542,853246,target gene
YIF1,P53845,855458,target gene
ESC8,Q08119,854143,target gene
YD290_YEAST,P87280,-,target gene
MFB1,Q04922,851805,target gene
TPT1,Q12272,854051,target gene
CYS3,P31373,851221,target gene
ATG11,Q12527,856162,target gene
YO062_YEAST,P36025,854228,target gene
NUP57,P48837,853016,target gene
SHH3,Q04487,855145,target gene
RAD52,P06778,854976,target gene
RIB7,P33312,852450,target gene
HST3,P53687,854190,target gene
SDHX_YEAST,P47052,853405,target gene
MDM34,P53083,852654,target gene
TSA1,P34760,854980,target gene
YD016_YEAST,Q12115,-,target gene
YCK3,P39962,856860,target gene
IES4,Q08561,854361,target gene
YN075_YEAST,Q8TGJ2,1466517,target gene
VPS25,P47142,853566,target gene
MNL2,Q12205,850746,target gene
SSY1,Q03770,851738,target gene
DIT1,P21623,852012,target gene
PCL6,P40038,856787,target gene
SEN15,Q04675,855081,target gene
BSC1,Q12140,851524,target gene
KRS1,P15180,851607,target gene
COX6,P00427,856448,target gene
MGR3,Q04472,855142,target gene
PRB1,P09232,856649,target gene
RPB2,P08518,854322,target gene
AGE1,Q04412,852136,target gene
DAK2,P43550,850491,target gene
ICL1,P28240,856794,target gene
FLO8,P40068,-,transcription factor and target gene
AVT2,P39981,856645,target gene
YL365_YEAST,Q7LIF2,-,target gene
NAM2,P11325,851098,target gene
MTH1,P35198,851870.0,transcription factor and target gene
RAI1,P53063,852646,target gene
NGL3,Q03210,854921,target gene
BGL2,P15703,853199,target gene
SMT3,Q12306,852122,target gene
YIU0_YEAST,P40575,854837,target gene
FMP42,Q04991,855261,target gene
TAE1,P38340,852564,target gene
YND4_YEAST,P53963,855697,target gene
NGL1,Q08213,854115,target gene
SPR6,Q01684,856851,target gene
RNA14,P25298,855083,target gene
YO014_YEAST,Q08110,854146,target gene
PHO2,P07269,851452.0,transcription factor and target gene
U5071_YEAST,P0CF16,855010,target gene
BFA1,P47113,853513,target gene
SET1,P38827,856519,target gene
CDC3,P32457,851024,target gene
FMP41,P53889,855553,target gene
TDA3,P38758,856400,target gene
RPS19B,P07281,855414,target gene
RBS1,Q05672,851338,target gene
YB298_YEAST,Q8TGK4,1466452,target gene
DCP2,P53550,855605,target gene
PET111,P08468,855299,target gene
JIP4,Q03361,852086,target gene
YB9F_YEAST,P38338,852562,target gene
